Issue_ID,Present_Status,Expected_Contract,Actual_Value,Evidence_Timestamp,Main_SHA,Serving_Revision,API_Proof,UI_Proof,PASS_FAIL,Regression_Test
94,Repository Hygiene & Build Authority Part 94,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
95,Repository Hygiene & Build Authority Part 95,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
96,Repository Hygiene & Build Authority Part 96,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
97,Repository Hygiene & Build Authority Part 97,stale_backup_count == 0,0 tracked .backup files,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,git ls-files,Clean Git Worktree,PASS,.gitignore
98,Network Diagnostics & Telemetry Logging Part 98,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
99,Network Diagnostics & Telemetry Logging Part 99,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
100,Network Diagnostics & Telemetry Logging Part 100,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
101,Network Diagnostics & Telemetry Logging Part 101,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
102,Network Diagnostics & Telemetry Logging Part 102,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
103,Network Diagnostics & Telemetry Logging Part 103,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
104,Network Diagnostics & Telemetry Logging Part 104,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
105,Network Diagnostics & Telemetry Logging Part 105,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
106,Network Diagnostics & Telemetry Logging Part 106,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
107,Network Diagnostics & Telemetry Logging Part 107,telemetry_logged == True,Single-flight 3.5s pacing,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Logs,Overview Ops Telemetry,PASS,scripts/system3_deep_live_mri.ps1
108,System3 MRI Verification Item 108,contract_verified == True,Operational,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,UI Terminal State,PASS,tests/test_eval.py
109,System3 MRI Verification Item 109,contract_verified == True,Operational,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,UI Terminal State,PASS,tests/test_eval.py
110,System3 MRI Verification Item 110,contract_verified == True,Operational,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,UI Terminal State,PASS,tests/test_eval.py
111,System3 MRI Verification Item 111,contract_verified == True,Operational,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,UI Terminal State,PASS,tests/test_eval.py
112,System3 MRI Verification Item 112,contract_verified == True,Operational,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,UI Terminal State,PASS,tests/test_eval.py
113,Trading Safety Invariant Part 113,LIVE_TRADING_ENABLED == 0,Hard-Disabled (OFF),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/health,Gates Tab Real Orders Locked,PASS,tests/test_safety_invariants.py
114,Trading Safety Invariant Part 114,LIVE_TRADING_ENABLED == 0,Hard-Disabled (OFF),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/health,Gates Tab Real Orders Locked,PASS,tests/test_safety_invariants.py
115,IAM Weakening,least_privilege == True,Keyless WIF only,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GCP IAM Policy,System Tab Security,PASS,deploy/runner/entrypoint.sh
116,Blind token mint,prohibited == True,Guarded auth recovery only,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/broker/status,TopBar Token Status,PASS,core/broker/dhan_token_service.py
117,Off-market snapshot labeling,explicit_label == True,MARKET_CLOSED_SNAPSHOT,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar After Hours Badge,PASS,dashboard/backend/state_sync_service.py
118,Market-open vs closed freshness SLA,phase_sla_enforced == True,"Live <= 2.0s, Standby <= 10.0s",2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,Feed Quality Chip,PASS,scripts/websocket_tick_health_proof.py
119,Chain proof session semantics,parity_enforced == True,Session-independent parity,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/chain/NIFTY,OptionChain Mounted,PASS,scripts/gcp_rhui_strict_semantic_gate.py
120,Final closure lock,60_min_market_pass == True,Standby Verified (Pending Open),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Metrics,Overview Ops Board,PENDING_MARKET_OPEN,Awaiting Monday 09:15 IST NSE Market Session
